,Light_Number,Error,Est_Geocentric_X,Est_Geocentric_Y,Est_Geocentric_Z
0,1,16.050039934169096,-2452510.6531680906,-4768307.412707373,3442376.2743348083
1,1,13.52108795305485,-2452509.8650435517,-4768305.179949992,3442374.673868549
2,1,9.535620201303562,-2452511.489371302,-4768301.772609281,3442372.6916799294
3,1,3.662125013042886,-2452511.4656335977,-4768296.570025618,3442368.604821051
4,1,3.3399578271296164,-2452512.7266455735,-4768295.3895486845,3442368.5821888186
5,1,4.0301810866882235,-2452509.6568626515,-4768294.444836586,3442367.2028603638
6,2,6.017037713324291,-2452484.6689002016,-4768299.703131583,3442377.8877101243
7,2,8.578946907362583,-2452483.6128009674,-4768306.195801784,3442378.3469630755
8,4,13.047899331033081,-2452477.3902957365,-4768317.080246078,3442364.6094537424
9,4,13.620844650919675,-2452478.432464871,-4768317.368095347,3442366.7223878372
10,4,16.913565979318044,-2452477.358015434,-4768316.843163893,3442370.4031725954
11,4,16.917646763657384,-2452484.1370031713,-4768318.915666591,3442373.316146034
