Name,Yaw_(X),Pitch_(Y),Roll_(Z),Lat,Long,Height,Bearing,
straight0_0,259.912,-178.176,79.132,32.87504,-117.21858,75.6,342 N,
straight0_1,268.106,-175.704,80.359,,,,342 N,
straight0_2,265.362,-176.121,79.986,,,,342 N,
straight1_0,267.776,-176.655,82.118,32.87505,-117.21848,78.3,346 N,
straight1_1,266.457,-177.921,82.04,32.87504,-117.21849,80.6,346 N,
straight1_2,267.449,-177.224,81.869,32.87504,-117.21849,80.6,346 N,
straight2_0,265.546,-179.246,79.576,32.87504,-117.21845,79.9,349 N,
straight2_1,266.301,-178.915,79.736,32.87504,-117.2184,79.8,349 N,
straight2_2,266.79,-177.465,80.098,32.87504,-117.21844,79.7,349 N,
corner0_0,261.078,-177.701,82.471,32.87501,-117.21851,85,340 N,
corner0_1,260.969,-179.077,81.999,32.87502,-117.21851,83.5,340 N,
corner0_2,261.594,-179.006,82.075,32.87502,-117.21851,83.5,340 N,
corner1_0,282.396,-178.31,82.467,32.87502,-117.21851,85.1,5 N,
corner1_1,281.667,-178.676,81.871,32.87502,-117.2185,84,5 N,
corner1_2,282.633,-178.869,82.008,32.87503,-117.21849,84.2,5 N,
corner2_0,298.376,-179.442,82.116,32.87505,-117.21847,78.2,30 NE,
corner2_1,301.638,-179.328,82.445,32.87504,-117.21849,76.8,30 NE,
corner2_2,301.556,-179.637,82.236,32.87504,-117.21849,76.8,30 NE,
corner3_0,324.279,-179.497,81.985,32.87505,-117.21849,74.8,53 NE,
corner3_1,319.854,-179.389,81.921,32.87505,-117.21849,74.4,53 NE,
corner3_2,323.089,-179.617,81.872,32.87505,-117.21849,74.4,53 NE,
corner4_0,336.669,-179.894,81.322,32.97505,-117.21849,78,74 E,(this seems really wrong)
corner4_1,345.392,179.743,81.322,32.87505,-117.2184,78,74 E,(this seems really wrong)
corner4_2,343.08,179.879,81.302,32.87505,-117.21849,78.6,74 E,(this seems really wrong)
,,,,,,,,
,,,,,,,,
Name,Yaw_(X),Pitch_(Y),Roll_(Z),,,,,
straight0,264.46,-176.667,79.82566667,,,,,
straight1,267.2273333,-177.2666667,82.009,,,,,
straight2,266.2123333,-178.542,79.80333333,,,,,
corner0,261.2136667,-178.5946667,82.18166667,,,,,
corner1,282.232,-178.6183333,82.11533333,,,,,
corner2,300.5233333,-179.469,82.26566667,,,,,
corner3,322.4073333,-179.501,81.926,,,,,
corner4,336.669,-179.894,81.322,,,,,
