,Param_Name,Parameter_Delta_value,Original_Average_Error,New_Average_Error,Percent_Error_Reduced_Avg
0,cx_left,0.0,11.106703279797772,11.106703279797772,0.0
1,cx_right,0.0,11.106703279797772,11.106703279797772,0.0
2,cy_left,40.0,11.106703279797772,11.088786272825697,0.16131705800284357
3,cy_right,-75.0,11.106703279797772,10.918613506346576,1.6934797726460993
4,fx_left,0.0,11.106703279797772,11.106703279797772,0.0
5,fx_right,0.0,11.106703279797772,11.106703279797772,0.0
6,fy_left,-50.0,11.106703279797772,11.038681557924848,0.6124384541419253
7,fy_right,50.0,11.106703279797772,10.967219500064486,1.2558522202262872
8,img1_x,-20.0,30.49659166032184,30.4927162203936,0.012707780500214282
9,img1_y,4.0,11.106703279797772,11.093859634283056,0.11563868405557577
10,img2_x,0.0,11.106703279797772,11.106703279797772,0.0
11,img2_y,0.0,11.106703279797772,11.106703279797772,0.0
12,omega_x,0.001,11.106703279797772,11.044112976593796,0.5635362863958266
13,omega_y,-0.0002,11.106703279797772,11.071582401130112,0.31621335136901146
14,omega_z,-0.0008,11.106703279797772,11.080277475366485,0.23792662652070648
15,ori_x,0.01953125,11.106703279797772,11.091754343359893,0.1345938219585798
16,ori_y,-0.01171875,11.106703279797772,11.091487561054352,0.13699581559089705
17,ori_z,-0.01171875,11.106703279797772,11.10318809450145,0.031649223066184645
18,t12_x,-0.004,11.106703279797772,11.066768517040973,0.3595555022113265
19,t12_y,0.0,11.106703279797772,11.106703279797772,0.0
20,t12_z,-0.006,11.106703279797772,10.984165373269906,1.1032788347803661
